year,Utah Jazz,Chicago Bulls,Golden State Warriors,Memphis Grizzlies,Minnesota Timberwolves,Toronto Raptors,San Antonio Spurs,Brooklyn Nets,Charlotte Hornets,Orlando Magic,Philadelphia 76ers,Miami Heat,Houston Rockets,Detroit Pistons,Washington Wizards,Boston Celtics,New Orleans Pelicans,Atlanta Hawks,Denver Nuggets,Cleveland Cavaliers,Indiana Pacers,Phoenix Suns,New York Knicks,Los Angeles Clippers,Milwaukee Bucks,Oklahoma City Thunder,Portland Trail Blazers,Los Angeles Lakers,Dallas Mavericks,Sacramento Kings,average
2023,1280,1226,1174,1171,1144,1134,1133,1122,1100,1100,1098,1081,1080,1073,1069,1069,1063,1048,1047,1046,1042,1036,1030,1023,1016,994,988,968,921,919,1073.17
2022,9316,9152,9102,9480,9507,8970,9279,9258,9457,8547,9015,9022,8997,8596,8907,9164,8962,9343,9243,8839,9140,9416,8731,8890,9470,8506,8711,9192,8858,9045,9070.5
2021,8382,7969,8187,8157,8073,8011,7998,8537,7881,7488,8182,7781,7833,7676,8398,8109,8251,8186,8284,7476,8302,8300,7706,8209,8649,7560,8360,7887,8096,8189,8070.57
